idna_subject,checker_type,destination,tested_at
detikxxi.com,AVAILABILITY,origin.list,2023-03-24 05:54:04.610803
segelasjeruk.blogspot.com,AVAILABILITY,origin.list,2023-03-24 05:54:05.329853
csd.xmod.in,AVAILABILITY,origin.list,2023-03-24 05:54:06.082497
analytics.s.id,AVAILABILITY,origin.list,2023-03-24 05:54:06.102084
metroupdate.biz,AVAILABILITY,origin.list,2023-03-24 05:54:06.641805
shortzzy.in,AVAILABILITY,origin.list,2023-03-24 05:54:06.855130
zlink.tk,AVAILABILITY,origin.list,2023-03-24 05:54:07.116970
ads.bisnisjakarta.co.id,AVAILABILITY,origin.list,2023-03-24 05:54:07.347563
ad.co.id,AVAILABILITY,origin.list,2023-03-24 05:54:07.592379
ucartade.blogspot.com,AVAILABILITY,origin.list,2023-03-24 05:54:09.000038
91.208.197.43,AVAILABILITY,origin.list,2023-03-24 05:54:18.340091
getlink.tienichmaytinh.net,AVAILABILITY,origin.list,2023-03-25 05:48:11.470131
0.0.realodix,AVAILABILITY,origin.list,2023-03-25 05:48:12.562359
216.250.252.7,AVAILABILITY,origin.list,2023-03-25 05:48:23.807885
128.199.84.59,AVAILABILITY,origin.list,2023-03-25 05:48:23.856249
63.250.41.34,AVAILABILITY,origin.list,2023-03-25 05:48:24.242056
