subject,idna_subject,expiration_date,epoch,registrar
studiofilm21.pro,studiofilm21.pro,29-aug-2023,1693267200.0,"NameCheap, Inc."
terbit21.cloud,terbit21.cloud,23-sep-2023,1695427200.0,"NameCheap, Inc."
thebabelianchannel.site,thebabelianchannel.site,21-mar-2023,1679356800.0,"Hostinger, UAB"
dutasex.lol,dutasex.lol,31-oct-2023,1698710400.0,Namecheap
erocafe.net,erocafe.net,31-may-2023,1685491200.0,"DYNADOT, LLC"
indoxxibokep.com,indoxxibokep.com,19-sep-2023,1695081600.0,"NameCheap, Inc."
javsubindo.com,javsubindo.com,01-apr-2023,1680307200.0,"NameCheap, Inc."
javindosub.com,javindosub.com,21-oct-2023,1697846400.0,"NameCheap, Inc."
javsubindo.net,javsubindo.net,06-apr-2023,1680739200.0,"NameCheap, Inc."
javstory.co,javstory.co,02-sep-2023,1693612800.0,"NameCheap, Inc."
malemjumat.lol,malemjumat.lol,31-oct-2023,1698710400.0,Namecheap
mdtaiwan.com,mdtaiwan.com,11-feb-2023,1676073600.0,"NameCheap, Inc."
playbokep.sx,playbokep.sx,28-sep-2023,1695859200.0,Ascio Technologies Inc. - DK Branch
carakami.com,carakami.com,17-oct-2023,1697500800.0,"NameCheap, Inc."
dunia21.day,dunia21.day,31-oct-2023,1698710400.0,Namecheap Inc.
filmapik.day,filmapik.day,31-oct-2023,1698710400.0,Namecheap Inc.
inpowin.com,inpowin.com,17-oct-2023,1697500800.0,"NameCheap, Inc."
studiofilm21.art,studiofilm21.art,18-oct-2023,1697587200.0,Namecheap
terbit21.day,terbit21.day,31-oct-2023,1698710400.0,Namecheap Inc.
