idna_subject,checker_type,destination,source,tested_at,session_id
matakamera.net,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:27.598434,05bf81afa8d021362cca6cae
matamata.com,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:27.623420,05bf81afa8d021362cca6cae
matanews.net,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:27.647515,05bf81afa8d021362cca6cae
matangdream.com,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:27.670766,05bf81afa8d021362cca6cae
matanusantara.com,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:27.696708,05bf81afa8d021362cca6cae
matasulsel.com,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:27.720414,05bf81afa8d021362cca6cae
matatelinga.com,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:27.744716,05bf81afa8d021362cca6cae
mattanews.co,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:27.768810,05bf81afa8d021362cca6cae
mawataki.com,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:27.796248,05bf81afa8d021362cca6cae
maxmanroe.com,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:27.822998,05bf81afa8d021362cca6cae
maxnime.com,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:27.848963,05bf81afa8d021362cca6cae
mazterize.co,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:27.874321,05bf81afa8d021362cca6cae
mazterize.com,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:27.899488,05bf81afa8d021362cca6cae
md88.bet,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:27.924416,05bf81afa8d021362cca6cae
mdewa.com,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:27.949763,05bf81afa8d021362cca6cae
medanbisnisdaily.com,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:27.974701,05bf81afa8d021362cca6cae
medanmerdeka.com,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:28.000552,05bf81afa8d021362cca6cae
medcom.id,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:28.027088,05bf81afa8d021362cca6cae
media-baru.com,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:28.052342,05bf81afa8d021362cca6cae
mediaaceh.com,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:28.079177,05bf81afa8d021362cca6cae
mediaapakabar.com,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:28.104466,05bf81afa8d021362cca6cae
mediaformasi.com,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:28.130216,05bf81afa8d021362cca6cae
mediaindonesia.com,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:28.155701,05bf81afa8d021362cca6cae
mediakendari.com,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:28.180837,05bf81afa8d021362cca6cae
mediamerdeka.co,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:28.206193,05bf81afa8d021362cca6cae
medianews.co.id,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:28.232040,05bf81afa8d021362cca6cae
mediasatu.co,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:28.257743,05bf81afa8d021362cca6cae
mediasembilan.co.id,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:28.283113,05bf81afa8d021362cca6cae
mediaseruni.co.id,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:28.308399,05bf81afa8d021362cca6cae
mediasinergi.co,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:28.333508,05bf81afa8d021362cca6cae
mediasulut.co,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:28.359542,05bf81afa8d021362cca6cae
mediatrias.com,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:28.385242,05bf81afa8d021362cca6cae
medinaslampungnews.co.id,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:28.414244,05bf81afa8d021362cca6cae
meduonline.co.id,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:28.439971,05bf81afa8d021362cca6cae
megaiklan.com,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:28.466034,05bf81afa8d021362cca6cae
meganebuk.net,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:28.491631,05bf81afa8d021362cca6cae
megapolitanpos.com,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:28.518513,05bf81afa8d021362cca6cae
megaurl.in,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:28.544276,05bf81afa8d021362cca6cae
meja13.me,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:28.579700,05bf81afa8d021362cca6cae
mellowads.com,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:28.605004,05bf81afa8d021362cca6cae
melonesinpreneur.com,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:28.635462,05bf81afa8d021362cca6cae
melongfilm.org,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:28.661374,05bf81afa8d021362cca6cae
melongmovie.net,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:28.687270,05bf81afa8d021362cca6cae
melongmovie.org,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:28.712691,05bf81afa8d021362cca6cae
memo.co.id,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:28.737903,05bf81afa8d021362cca6cae
memoo.xyz,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:28.763287,05bf81afa8d021362cca6cae
menangpiala.com,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:28.788530,05bf81afa8d021362cca6cae
menjelajahi.com,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:28.814590,05bf81afa8d021362cca6cae
menontonxx1.com,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:28.840300,05bf81afa8d021362cca6cae
meownime.my.id,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:28.868268,05bf81afa8d021362cca6cae
mesiniklan.andipublisher.com,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:28.894267,05bf81afa8d021362cca6cae
metrobatam.com,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:28.919992,05bf81afa8d021362cca6cae
metrojambi.com,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:28.945476,05bf81afa8d021362cca6cae
metrokaltara.com,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:28.971182,05bf81afa8d021362cca6cae
metrokepri.com,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:28.996750,05bf81afa8d021362cca6cae
metromanado.com,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:29.022261,05bf81afa8d021362cca6cae
metropadang.com,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:29.048623,05bf81afa8d021362cca6cae
metropolis.id,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:29.078081,05bf81afa8d021362cca6cae
metropublik.com,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:29.103584,05bf81afa8d021362cca6cae
metrosulawesi.id,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:29.129729,05bf81afa8d021362cca6cae
metrosumsel.com,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:29.157364,05bf81afa8d021362cca6cae
metroworldhost.com,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:29.187223,05bf81afa8d021362cca6cae
mi-globe.com,AVAILABILITY,origin.list,origin.list,2001-08-31 20:35:29.212331,05bf81afa8d021362cca6cae
