# Generated by PyFunceble (v4.2.4.dev) / https://pyfunceble.github.io
# Date of generation: 2023-10-31T05:53:07.053803

Registrar                      Percentage   Amount      
------------------------------ ------------ ------------
Namecheap                      61%          34          
NameCheap, Inc.                18%          10          
CV. JOGJACAMP                  4%           2           
CV. Rumahweb Indonesia         4%           2           
Dynadot Inc                    4%           2           
Jagoan Hosting                 4%           2           
NameSilo, LLC                  4%           2           
PT Cloud Hosting Indonesia     4%           2           
Namecheap                      61%          34          
NameCheap, Inc.                18%          10          
CV. JOGJACAMP                  4%           2           
CV. Rumahweb Indonesia         4%           2           
Dynadot Inc                    4%           2           
Jagoan Hosting                 4%           2           
NameSilo, LLC                  4%           2           
PT Cloud Hosting Indonesia     4%           2           
